Date,Open,High,Low,Close,Adj Close,Volume
2012-09-17,91.919998,92.500000,91.550003,91.910004,76.992119,11893700
2012-09-18,91.430000,92.220001,91.400002,91.650002,76.774330,10950100
2012-09-19,91.480003,91.750000,90.570000,90.570000,75.869614,16302100
2012-09-20,90.139999,91.690002,90.089996,91.519997,76.665405,12238400
2012-09-21,92.029999,92.230003,91.639999,91.919998,77.000488,19599100
2012-09-24,91.309998,92.209999,91.300003,91.879997,76.966965,11023700
2012-09-25,92.110001,92.570000,91.540001,91.739998,76.849716,14035800
2012-09-26,91.720001,92.040001,91.099998,91.230003,76.422485,11616500
2012-09-27,91.830002,92.250000,91.190002,91.800003,76.899956,10632700
2012-09-28,91.480003,91.650002,90.930000,91.449997,76.606773,12507600
2012-10-01,91.790001,92.500000,91.599998,91.800003,76.899956,10343500
2012-10-02,92.120003,92.180000,91.279999,91.720001,76.832947,9507800
2012-10-03,91.650002,91.809998,91.169998,91.699997,76.816223,10328100
2012-10-04,92.080002,92.540001,91.910004,92.220001,77.251808,11507100
2012-10-05,92.589996,93.000000,92.230003,92.550003,77.528236,9890100
2012-10-08,92.150002,92.870003,92.040001,92.680000,77.637138,8765200
2012-10-09,92.830002,93.360001,92.110001,92.129997,77.176407,13799200
2012-10-10,91.800003,92.019997,90.669998,91.029999,76.254944,15332500
2012-10-11,91.570000,91.879997,91.169998,91.169998,76.372231,9789900
2012-10-12,91.510002,91.720001,90.510002,91.029999,76.254944,9943700
2012-10-15,91.349998,91.690002,90.540001,91.510002,76.657043,10651100
2012-10-16,91.889999,92.480003,91.800003,92.379997,77.385818,9069300
2012-10-17,92.620003,93.540001,92.610001,93.389999,78.231911,10759100
2012-10-18,92.970001,93.570000,92.970001,93.480003,78.307289,11815500
2012-10-19,93.570000,93.669998,91.750000,92.150002,77.193153,15928100
2012-10-22,91.669998,92.260002,91.080002,92.190002,77.226654,11445400
2012-10-23,91.129997,91.379997,90.010002,90.180000,75.542892,14085500
2012-10-24,90.459999,90.620003,89.769997,89.879997,75.291595,11332500
2012-10-25,90.629997,90.800003,89.680000,90.430000,75.752342,10387200
2012-10-26,90.559998,91.070000,90.010002,90.620003,75.911484,11583000
2012-10-31,91.029999,91.410004,90.110001,91.169998,76.372231,14848500
2012-11-01,90.250000,91.669998,90.199997,91.599998,76.732414,15771900
2012-11-02,91.760002,91.940002,90.059998,90.269997,75.618309,12742400
2012-11-05,90.040001,90.809998,89.699997,90.629997,75.919884,11222600
2012-11-06,90.860001,92.050003,90.730003,91.610001,76.740807,12026500
2012-11-07,90.239998,90.239998,87.699997,88.180000,74.330009,19423500
2012-11-08,88.269997,88.430000,87.029999,87.070000,73.394356,13743000
2012-11-09,86.610001,87.949997,86.610001,87.209999,73.512360,13407000
2012-11-12,87.269997,87.690002,86.949997,87.320000,73.605087,9004300
2012-11-13,86.750000,87.989998,86.440002,86.470001,72.888603,12260300
2012-11-14,86.750000,87.110001,85.879997,86.070000,72.551414,14524100
2012-11-15,86.089996,86.559998,85.370003,86.139999,72.610428,13783600
2012-11-16,86.139999,86.709999,85.059998,86.449997,72.871735,17405200
2012-11-19,87.400002,88.199997,87.089996,87.669998,73.900108,12911000
2012-11-20,87.510002,87.879997,86.769997,87.500000,73.756805,10288100
2012-11-21,87.809998,88.019997,87.480003,88.010002,74.186729,13905300
2012-11-23,88.250000,89.089996,88.010002,89.089996,75.097084,11931000
2012-11-26,88.320000,88.629997,88.029999,88.620003,74.700905,16423600
2012-11-27,88.400002,88.540001,87.239998,87.349998,73.630379,11841600
2012-11-28,86.529999,88.190002,86.279999,88.099998,74.262558,15959900
2012-11-29,88.370003,88.690002,87.629997,88.120003,74.279442,11579100
2012-11-30,88.070000,88.400002,87.820000,88.139999,74.296288,15522100
2012-12-03,88.550003,88.580002,87.470001,87.610001,73.849548,10937300
2012-12-04,87.379997,87.970001,87.190002,87.190002,73.495506,11980000
2012-12-05,87.269997,88.269997,87.099998,87.730003,73.950676,12717800
2012-12-06,87.760002,88.059998,87.239998,88.000000,74.178291,12077000
2012-12-07,88.169998,88.639999,87.769997,88.599998,74.684036,10603100
2012-12-10,88.580002,88.949997,88.239998,88.410004,74.523895,11549400
2012-12-11,88.610001,89.489998,88.400002,88.989998,75.012802,12634600
2012-12-12,89.089996,90.370003,88.910004,89.449997,75.400536,14729500
2012-12-13,89.160004,89.449997,88.269997,88.580002,74.667183,12290300
2012-12-14,88.000000,88.449997,87.919998,88.080002,74.245720,13363600
2012-12-17,88.360001,88.940002,88.099998,88.870003,74.911644,15672500
2012-12-18,88.750000,89.739998,88.559998,89.559998,75.493256,15396600
2012-12-19,89.540001,89.610001,88.379997,88.440002,74.549171,15092500
2012-12-20,88.379997,88.940002,87.980003,88.889999,74.928497,15789000
2012-12-21,87.660004,88.599998,87.010002,87.230003,73.529228,33057000
2012-12-24,87.129997,87.320000,86.800003,86.919998,73.267899,6385200
2012-12-26,87.209999,87.680000,86.570000,87.070000,73.394356,10737800
2012-12-27,87.050003,87.239998,85.750000,86.860001,73.217339,14258500
2012-12-28,86.099998,86.290001,85.070000,85.099998,71.733788,13358700
2012-12-31,85.040001,86.660004,84.699997,86.550003,72.956009,19810800
2013-01-02,87.790001,88.720001,87.239998,88.709999,74.776772,16143700
2013-01-03,88.459999,88.889999,88.160004,88.550003,74.641899,13268200
2013-01-04,88.500000,89.089996,88.370003,88.959999,74.987495,11427900
2013-01-07,88.309998,88.489998,87.570000,87.930000,74.119278,11799800
2013-01-08,87.820000,88.480003,87.290001,88.480003,74.582886,14226400
2013-01-09,88.400002,88.540001,87.750000,88.139999,74.296288,10892200
2013-01-10,88.750000,89.480003,88.370003,89.099998,75.105499,13099600
2013-01-11,88.970001,89.709999,88.860001,89.610001,75.535400,11645600
2013-01-14,89.459999,89.750000,89.320000,89.580002,75.510117,9606700
2013-01-15,89.180000,89.610001,89.000000,89.529999,75.467972,9195400
2013-01-16,89.160004,89.480003,89.070000,89.470001,75.417381,9645000
2013-01-17,89.760002,90.940002,89.599998,90.199997,76.032738,13400300
2013-01-18,90.089996,90.830002,89.830002,90.800003,76.538498,17196000
2013-01-22,90.269997,90.940002,90.209999,90.919998,76.639641,11897500
2013-01-23,90.500000,90.879997,90.419998,90.699997,76.454208,10906800
2013-01-24,90.879997,91.720001,90.750000,91.349998,77.002113,11100000
2013-01-25,91.570000,91.800003,91.129997,91.730003,77.322433,11090600
2013-01-28,91.669998,91.669998,90.769997,91.110001,76.799820,11617500
2013-01-29,91.209999,91.930000,91.199997,91.760002,77.347717,11700600
2013-01-30,91.169998,91.720001,90.379997,90.669998,76.428932,15645400
2013-01-31,90.690002,91.209999,89.739998,89.970001,75.838852,15991500
2013-02-01,90.440002,90.500000,89.360001,90.040001,75.897858,15699200
2013-02-04,89.410004,89.620003,88.839996,89.150002,75.147659,13347300
2013-02-05,89.879997,90.190002,89.419998,89.739998,75.644997,11679700
2013-02-06,89.370003,89.889999,89.160004,89.790001,75.687141,11768700
2013-02-07,89.209999,89.220001,87.610001,88.250000,74.864281,13463300
2013-02-08,88.500000,88.800003,88.110001,88.610001,75.169647,11412300
2013-02-11,88.349998,88.510002,87.970001,88.279999,74.889702,8764700
2013-02-12,88.250000,88.620003,87.919998,88.459999,75.042412,9752100
2013-02-13,88.459999,88.769997,88.239998,88.669998,75.220558,8940300
2013-02-14,88.339996,88.809998,88.059998,88.519997,75.093315,13238900
2013-02-15,88.570000,88.610001,87.800003,88.360001,74.957573,15696900
2013-02-19,88.540001,89.410004,88.379997,89.320000,75.771957,12158900
2013-02-20,89.139999,89.820000,88.900002,88.970001,75.475060,13936400
2013-02-21,88.790001,89.019997,88.360001,88.589996,75.152672,10939800
2013-02-22,89.019997,89.279999,88.400002,89.199997,75.670166,10260200
2013-02-25,89.879997,90.190002,87.699997,87.699997,74.397682,15302900
2013-02-26,88.500000,88.980003,87.760002,88.510002,75.084831,15073200
2013-02-27,88.500000,89.650002,88.309998,89.529999,75.950119,11195200
2013-02-28,89.669998,89.809998,89.029999,89.550003,75.967072,14552000
2013-03-01,89.070000,89.680000,88.919998,89.430000,75.865288,11301600
2013-03-04,89.129997,89.250000,88.459999,88.949997,75.458092,10994000
2013-03-05,89.480003,90.150002,89.290001,89.610001,76.017990,13072600
2013-03-06,89.599998,89.949997,89.050003,89.559998,75.975555,13234400
2013-03-07,89.629997,89.760002,88.680000,88.709999,75.254486,12905300
2013-03-08,89.010002,89.230003,88.349998,88.970001,75.475060,11896300
2013-03-11,89.010002,89.550003,88.540001,89.160004,75.636238,12454800
2013-03-12,89.449997,89.910004,89.010002,89.160004,75.636238,11470000
2013-03-13,89.019997,89.500000,88.830002,89.260002,75.721077,10539900
2013-03-14,89.410004,89.910004,89.410004,89.830002,76.204613,13775500
2013-03-15,89.199997,89.610001,88.790001,89.370003,75.814362,29240100
2013-03-18,88.739998,89.389999,88.550003,88.769997,75.305397,11553700
2013-03-19,88.889999,89.089996,88.019997,88.580002,75.144211,11987900
2013-03-20,88.949997,89.209999,88.300003,88.629997,75.186615,11319000
2013-03-21,88.120003,88.639999,87.900002,88.169998,74.796394,13447500
2013-03-22,88.400002,89.290001,88.320000,89.290001,75.746513,10786600
